name,text,party,gender,speech_id
Baroness Bowles of Berkhamsted,"I thank my noble friend for that intervention. She also made some important points earlier about what has come into our law allegedly from directives. I must say that, since I have been looking at this withdrawal Bill, I have become astonished by what has been done under the European Communities Act, which I do not think I would have wanted if I had gone back and made the European Communities Act again—but that is a digression.There are two outstanding points: whether you need to do anything to get it into court for technical purposes; and what the visibility is for citizens. I must say that anybody who thinks that our legislation is at all visible should go on to the government website and wander around it. If they are hoping to find out what the current law is, the first thing they will see is that the site is not up to date. I find it a far sight easier to find up-to-date European law, but again, I digress.With the proviso that it may be necessary to return to this—possibly the Government will bring forward an amendment or provide further explanation—I beg leave to withdraw my amendment.Amendment 354 withdrawn.Amendment 355Moved by355: Schedule 5, page 39, line 18, leave out sub-paragraph (3) and insert— “(3) Any direction given under this paragraph must be contained in regulations.”",(LD),female,11
Lord Lisvane,"My Lords, this amendment is in my name and those of my noble friend Lord Pannick, my noble and learned friend Lord Judge and the noble Lord, Lord Tyler. It is grouped with Amendment 355ZZA in the name of the noble Baroness, Lady Bowles of Berkhamsted, which I venture to suggest has a great deal of merit.Amendment 355 may appear to address a minor matter but it is an important matter of principle. The exception from the duty to publish provided by paragraph 2(1) of Schedule 5 depends on a Minister being satisfied that a relevant instrument, as defined in paragraph 1(2) of the schedule, has not become or will not become on exit day retained direct EU legislation. I entirely appreciate the argument that, in that case, there may be little point in publishing some or all of it. However, where the argument goes off course is that, while paragraph 2(2) allows a Minister to give a direction to the Queen’s printer not to publish a specified instrument or a category of instruments, paragraph 2(3) allows this to be done by mere ministerial direction.The Delegated Powers Committee, of which the noble Lord, Lord Tyler, and I are both members, was critical of this. At paragraph 49 of its 12th report, the committee said:“Amending the law by direction … is highly unusual. The delegated powers memorandum”— that is, the Government’s delegated powers memorandum to the committee—“justifies this on the ground that it is a ‘limited administrative power’. Even so, to allow Ministers to amend the law by a mere direction, with no associated parliamentary procedure, sets an ominous precedent. Such a direction is what Henry VIII might have called a proclamation”.It does not matter that this power is proposed to be used in relatively uncontroversial circumstances and that the identification of any instrument or category of instruments may be relatively straightforward. The important point is what the Delegated Powers Committee calls an “ominous precedent”. This may seem a little Cassandra-like, although I think that the Delegated Powers Committee is believed rather more often than was Cassandra with her repeated nul points, but, right on schedule, along comes the Taxation (Cross-border Trade) Bill, which makes much use of the unwelcome concept of making law by public notice—in effect, by proclamation, with no role at all for Parliament.In the referendum campaign, much was made of parliamentary sovereignty, and it has been a recurrent theme of our debates in Committee. I suggest that we should be sharply aware of procedures or processes that tend to diminish or extinguish the role of Parliament in favour of that of the Executive. I beg to move.",(CB),male,12
Lord Pannick,"My Lords, I have added my name to this amendment and I agree entirely with what my noble friend Lord Lisvane has said. I simply add that sub-paragraph (3) is also objectionable. It states:“A Minister of the Crown must publish any direction under this paragraph”. However, it does not even say how or where the Minister is to publish. It gives complete discretion to the Minister.I also have a wider concern about paragraph 2: that is, the power for the Minister to create an exception to the duty of the Queen’s printer to publish retained direct EU legislation. The Minister recognised in the previous debate, and appropriately so, the importance of the law being publicly identifiable so that everyone knows what the corpus of retained EU law is. However, paragraph 2 contradicts that. To give a discretion to the Minister to exclude something from the material that is to be published by the Queen’s printer if the Minister takes the view that a relevant instrument will not become direct EU legislation leaves matters completely uncertain. I suggest that a much more sensible approach is that, if the Minister takes the view that a particular instrument is not becoming retained direct EU legislation, the Minister should have a duty to ensure that it is not included in the material that is to be published by the Queen’s printer.What we want, and what the public are entitled to have, is a body of material that in the view of the Government constitutes the retained direct EU legislation that is to become part of our law. These matters should not be left to the discretion of Ministers.",(CB),male,13
Lord Tyler,"My Lords, as a co-signatory to the amendment, I want to make a short contribution in support of the reference by the noble Lord, Lord Lisvane, to the work of the Delegated Powers and Regulatory Reform Committee and to pay tribute to our legal advisers, who are not only expert and experienced but amazingly diligent. The noble Lord referred to the committee’s work on the Bill, but he did not make direct reference to paragraph 93 of our third report to the House, the last sentence of which reads:“The Statute of Proclamations 1539, which gave proclamations the force of statute law and later gave rise to the term ‘Henry VIII power’, was repealed in 1547 (after the King’s death earlier that year)”. I have not been able to do the necessary follow-up research but, as I understand it, our 16th-century predecessors put around the statute of limitations some additional restrictions that are not in this Bill. As a former Member of the other House, I think that it would be extraordinary if the two Houses of Parliament allowed this to go through. It may seem a minor matter, but in terms of precedent it is extremely important. If we let it through, it seems that we will not have done our job as well as our 16th-century predecessors.The work that is done by the Delegated Powers Committee is well respected in your Lordships’ House and I am delighted that that is the case. In saying that, I want to make sure that Members of the House know that we have the advice of some extremely assiduous lawyers. I think that the advice that we give the House usually benefits from that. I am not always a huge fan of lawyers, but in this respect I think that we are very well served.",(LD),male,14
Lord Judge,"My Lords, we come to the next stage of the slow journey of this Bill through the House. I shall look at Clause 9 again and address the issue of what the Act of proclamations provided, but just as a footnote I remind the House that the statute provided in categoric terms that a proclamation could not overrule a statute. One tends to overlook that. Everyone is absolutely riveted, are they not? Schedule 5—what an exciting topic to come to first thing in the morning. The problem, though, is that tucked away in this schedule, as frequently happens, is an issue of principle. That issue is, simply, and I support what the noble Lord, Lord Lisvane, says, that we are giving an unnecessary, or inappropriate—I do not mind which word we use for these purposes—surrender of power to the Executive. We really must break that habit.",(CB),male,15
Baroness Ludford,"My Lords, to go slightly beyond the terms of the amendment, as foreshadowed in the words of the noble Lord, Lord Pannick, the issue of principle appears to extend to giving the Government the power not only to decide whether something is to be published but to decide whether they are satisfied that it is retained direct EU legislation. Following the debate on the amendment in the name of the noble Lord, Lord Patel, about clinical trials regulation, there have been exchanges and meetings.Apparently, I am wrong about that. I am told that at some point I will get a blow-by-blow explanation. The Minister sighs, but no one has actually explained. There is a contradiction between the drafting in the Bill and the Explanatory Notes. The Minister is looking at me as if I am stupid. I am sorry about that, but we need to know the criteria by which the Government will precisely decide whether an EU measure is retained EU law and, preferably, have a list of those measures. That would be transparent. We need both the criteria and the list. We cannot just leave it to the Government to decide not only whether they publish but whether an instrument is retained EU law. This has massive consequences in the real world, as does the clinical trials regulation. Researchers are leaving the country because they do not know whether we are going to continue to apply EU law. This is not nothing; it is an important matter.",(LD),female,16
Lord Cormack,"My Lords, this is very important and the noble Baroness is entirely justified in getting a little worked up about it. I spent 40 years, almost to the day, in the other place. I never had a ministerial office and I was always deeply suspicious of Ministers exercising arbitrary power and of any measure that extended the opportunity for Ministers to exercise such powers. My noble friend Lord Hailsham intervened in the debate earlier this week to remind me—not that I needed reminding—of the importance of the Back-Bencher. The Government must always be answerable to Parliament. Giving a Minister an extra arbitrary power, be it in ever such a small degree, enables them to evade answerability to the elected House.We are fortunate to have committees—the Constitution Committee and the committee of which the noble Lords, Lord Lisvane and Lord Tyler, are members—that act as watchdogs on behalf of this House and Parliament. As this Bill leaves our House, which it will do in a month or two, and goes back to the Commons, it must have been tightened up in as many particulars as possible so as to guarantee as much power as possible to the elected House.",(Con),male,17
Baroness Bowles of Berkhamsted,"My Lords, I will speak to the amendment in my name, in case other noble Lords want to come in on it. It relates to Part 2 of Schedule 5, on the rules of evidence. It is about regulations again, but in a different part of the schedule. I am sensitive to powers that potentially change what may or may not be available as evidence. This is a constitutional point, especially if it means disappearing cases or defences. I therefore find the provision in paragraph 4(3) of Schedule 5 too wide. It permits regulations under paragraph 4 to modify any provision made by or under any enactment made up to the end of the Session in which this withdrawal Bill is passed. That is basically all legislation until then.I have tried to work out why this provision is needed and what it could do if abused, for that is the standard that we must measure against. In many discussions on wide powers, Ministers have protested good faith. Many of your Lordships have not doubted them but have still wanted safeguards, while others of your Lordships, including distinguished privy counsellors on the government side, have warned—or maybe confessed—that Ministers will abuse powers and have likewise suggested safeguards. This is all part of the “appropriate” versus “necessary” argument.I was struck last Wednesday that, when the boot was on the other foot, the Government were less keen on having to rely on trust. About devolution, the noble and learned Lord, Lord Keen, said:“If we look to the issue of consent, rather than consultation, let us be clear that it is not a question of trust but of constitutional propriety”.—[Official Report, 21/3/18; col. 403.] I accept that the context is different, but the point that many of us have been trying to make about many powers in the Bill is just that: it is a matter of constitutional propriety between the Executive and Parliament and, indeed, the freedoms of the people.Here we have another such power, even if it is small. It does not seem right that rules of evidence for admissibility could be changed, maybe quite widely, by amending any Act of Parliament, not necessarily limited to the consequences of Brexit. I have suggested adding a limitation, which would not allow use of the power for reducing the scope of what is admissible except for the purpose of replacing EU references with domestic ones. I thought that limitation was additionally relevant because the power to amend all pre-Brexit legislation seems to be perpetual. I was first inclined just to delete it, but I hope that my amendment will give the Minister an opportunity to clarify the kind of circumstances that are envisaged for the power, why it should be perpetual and whether some limitation could be envisaged to address my concerns.",(LD),female,18
Viscount Hailsham,"My Lords, I have a brief observation on Amendment 355. I agree entirely with the points of principle that have been articulated by my noble friend Lord Cormack, by the noble and learned Lord, Lord Judge, and by the noble Lord, Lord Tyler. Let me make a practical point. If the Minister makes an exception and gets it wrong, people dealing with the European Union may find themselves non-compliant with regulations that are in force and thereby exposed to some form of penalty or disadvantage. The advantage of the amendment is that it would reduce that possibility by a small degree. It is worth guarding against the risk if we can.",(Con),male,19
Lord Wallace of Saltaire,"My Lords, the Minister remarked that the previous amendment was slightly nerdish and that we were dealing with technical issues. That is absolutely the role of this House. We are intended to deal with the details of Bills. We have already spent more time on the Bill, before we have reached the end of the Committee stage, than the House of Commons spent on all stages. That is appropriate—and necessary.We should not underestimate how far these technical, constitutional, nerdish issues have resonance outside. I have seen the term “Henry VIII powers” in the columns of the Yorkshire Post. I should tell the noble Lord, Lord Callanan, that I found myself last Saturday addressing several thousand people in Leeds on a Stop Brexit march. In a short speech, I mentioned in passing that the House of Lords had just defeated the Government on a question relating to Euratom. A great cheer went up from the crowd. Until that point, I would have thought that there were at most 200 people in Yorkshire who understood what Euratom was—most of them medical doctors of one sort or another. If several thousand people think that the question of Euratom is important, we should not underestimate the public and those who care about detailed issues in the Bill, in particular executive control versus parliamentary sovereignty and the extent to which the Government may be taking powers in the Bill that a future Government of a different complexion might use and abuse. These are not entirely nerdish and technical matters; they are actually rather important politically.",(LD),male,20
Baroness Goldie,"My Lords, I thank all who have contributed to this debate; very important points have been raised. This subject may be academic and technical but the issues are important—and to me, they are actually very interesting. I say to the noble Lord, Lord Wallace of Saltaire, that I think there are a lot of worse ways of spending a wet Wednesday morning than looking at these issues.In responding to Amendment 355, I would like to take the opportunity to explain the Government’s approach, and explain why we do not consider it necessary or practical to require the making of secondary legislation. Taken together, paragraphs 1 and 2 mean that the Queen’s printer has a duty to publish all relevant instruments in respect of which it has not received a direction. The direction-making power, therefore, is already clearly limited in its scope. I acknowledge the concern, as articulated by the Delegated Powers and Regulatory Reform Committee, that the direction-making power in paragraph 2 is akin to allowing Ministers to change the law by proclamation. The noble Lord, Lord Lisvane, colourfully referred to that. However, the Government respectfully disagree with that characterisation. The power in paragraph 2 to exempt the Queen’s printer from the duty to publish in relation to certain instruments or parts of instruments is, I would submit, a targeted, common-sense provision to enable the Minister to narrow what is—as I hope I have explained in my previous remarks—the necessarily wide task of the Queen’s printer.This power does not enable a Minister, by decree, to determine what is or is not retained EU law, nor is it designed to prevent some aspects of retained direct EU legislation being published. I would remind the House that any directions under paragraph 2 must be published. So there is no secrecy here; the process is transparent. I did note the concern of the noble Lord, Lord Pannick, that there was an absence of detail on the mode of publication. I have no specific information about that. I would imagine that it would follow existing practice. However, I shall certainly undertake to write to him about that aspect.The National Archives is already looking at how the various directions to the Queen’s printer will be made available on legislation.gov.uk, to make access to them easier still.Accordingly, the Government do not consider that this direction-making power can fairly be characterised as an alarming extension of executive power, or as setting an ominous precedent for the future. The law needs to be made publicly available—that is a given—and we need a proportionate way to achieve this. A targeted, carefully circumscribed power for a Minister to give directions in relation to a body is not unprecedented or harmful. I noted that the noble Lord, Lord Tyler, was deeply concerned about the operation of this provision, and the noble and learned Lord, Lord Judge, was, I think, predictably suspicious. So let me try to provide an illustration.For example, under Section 92 of the Energy Act 2013, the Secretary of State may direct the Office for Nuclear Regulation as to the exercise of its functions, generally or specifically. In 2017, the Secretary of State did make such a direction as to the supply of information in relation to the nuclear safety of civilian nuclear installations. I say to the noble Lord, Lord Pannick, that that direction was published online, so it was readily visible and accessible. The alternative option put forward in the amendment of the noble Lord, Lord Lisvane, would be to require any such directions to be made in secondary legislation. Such an approach would in our view be unnecessary and potentially counterproductive. It would also impose an added burden to the volume of regulations which we can anticipate following from this legislation.",(Con),female,21
Viscount Hailsham,"If it has to be done by regulation, it gives this House and the other place at least a theoretical possibility of saying that the Minister should not make the exception, because the regulation or directive is, in fact, retained EU law. The citizen must be in a position to have access to what is relevant retained EU law. If it is not done by regulation, there is no way of challenging the Minister’s decision on that point. Surely, is that not objectionable in principle?",(Con),male,22
Baroness Goldie,"This is all about trying to ensure that the statute book does not become cluttered with material which is irrelevant, not competent under the Bill and not within the scope of retained EU law as we have defined it.",(Con),female,23
Lord Beith,"We would all agree with the principle that the noble Baroness has just advanced—we shall adduce it when trying to remove some other bits from the Bill later today. However, she seems to be advancing the proposition that it is for a Minister to say that something is not part of the law, because of something that the Minister judges makes it invalid. The constitution has never given that role to Ministers. Courts decide what the law is if the matter is in doubt, not Ministers. To say to the people at the National Archives, whom I visited on one occasion—a small and diligent group huddled over computer screens which have replaced scissors and paste—“Do not print it”, is not an answer to a question of doubt about the law.",(LD),male,24
Baroness Goldie,"If we can set to one side any concept of malevolence or malign intent on the part of the Government or a Minister, perhaps we can accept that this is a genuine attempt to provide simplicity. If a Minister in a department perceives that an instrument or one of the elements of EU retained law is no longer applicable and is not going to fit in with the new body of law, it is desirable that clarification can be provided in the swiftest possible way and that it should not make its way to the Queen’s printer. I appreciate that there are deeply felt views about this, and I am certain that we will come to this again on Report. I am merely trying to indicate to the Committee what the Government think is not just a sustainable position—",(Con),female,25
Lord Tyler,"I am full of admiration for the way in which the noble Baroness appears to be trying to avoid the suggestion that it is executive expediency that is going to determine how this issue is going to be addressed. I think she knows that if she had used that phrase, people all over the House would have said: “We are not into that business”. Perhaps she could be a bit clearer about what considerations she thinks would be in the Minister’s mind to take this particular action.",(LD),male,26
Baroness Goldie,"It is a little difficult to predict specific examples. Many of your Lordships have had experience of ministerial positions. I imagine that if an anomaly were brought to the attention of the Minister that something was not going to apply; it was no longer relevant; it did not fit in the new framework of what will be a body of UK law, the Minister would be reasonable in trying to ensure that that element, whatever it was, did not appear to make its way via the Queen’s printer on to what is perceived to be the body of law for the UK.Some may argue that that is inherently flawed and a deeply suspect way for any Government to behave. In the extraordinary situation in which we find ourselves— I suggest that outside of wartime this situation is unprecedented—common sense has to be applied. There has to be a proportionate way of balancing legitimate interests in the constitution with the practical need to make sure that we do not create nonsense in the statute book.",(Con),female,27
Baroness Bowles of Berkhamsted,"Surely this comes about when the Government are dealing with the so-called deficiencies and then coming out with the statutory instruments to make those right. Why can you not identify it at that stage and make it part of the regulation? That is the point at which the comparison with what does not work in EU law is made. Why cannot it be part of that regulation? Whether it is under Schedule 5 or something else, as the empowerment does not really matter, it is properly done.",(LD),female,28
Baroness Goldie,"The noble Baroness is quite right: there may be an overlap of issues where there is the desire to legislate positively about something as well as taking into account something that is no longer relevant. What I am saying is that where there is a patent misfit because something no longer applies to UK law, I think it is sensible in those circumstances to let the Minister try to ensure that there is no confusion, in that it does not make its way into what is in public view as representative of the body of law.",(Con),female,29
Baroness Kramer,"Surely there is nothing wrong with a Minister proposing that something is not relevant and appropriate, but to make the final decision on that with no capacity for challenge is completely out of order. That is not a responsibility that should be placed on any member of the Executive.",(LD),female,30
Viscount Hailsham,"Before my noble friend responds to that, I wish to make a similar point. If a direction is published, that is after the event; whereas if it has to be done by regulation, that in effect gives everyone the right to say that the Minister has got it wrong. That would be prospective rather than retrospective. Does the regulation procedure not have that advantage? It gives people the right to say the Minister has got it wrong.",(Con),male,31
Baroness Goldie,"Well, I have listened with interest to these contributions. We will certainly reflect on what has been said. I understand the desire of the Chamber to get some whiff or wind of what the Minister might be contemplating and I can certainly undertake to look at what the noble Baroness, Lady Kramer, and my noble friend Lord Hailsham have said. I was going to go on, if I may be permitted to do so, to try to cover the point about secondary legislation, if I can pause for breath to do that.",(Con),female,32
Lord Pannick,"The Minister is being very patient. I would like to add to what the noble Viscount has said. A real disadvantage of what the Government are proposing—that is, there is publication with no opportunity for the matter to be debated before it is decided—is that there is a means of challenge, and that is in court. It would be most unsatisfactory if the procedure that the Government adopt is that Ministers make a decision and publish a direction, there is no opportunity for debate in either House and then anyone who is aggrieved takes the matter to court. Surely it would be far better for this to be done by statutory instrument, and then any concerns could be properly debated.",(CB),male,33
Baroness Goldie,"I hear the noble Lord, and I shall certainly reflect on that observation, but if I may be permitted to advance what the Government consider to be the case in relation to the proposition that this be dealt with by secondary legislation it might enable the Committee to understand why the Government have adopted the view that we have. The alternative option to require that any such direction is to be made of secondary legislation would arguably be counter- productive. The task of identifying instruments that will not become retained EU law will be a continuous one, and our awareness of such instruments will grow over time. I understand and respect the motives behind the amendment. I have to suggest that it would seem rather paradoxical to require the Government to legislate repeatedly in order to avoid the publication of the irrelevant EU legislation, but maybe I am being perverse in looking at it that way. The legislation required to ensure that our law operates effectively after exit day will be significant, and I respectfully suggest that we should try not to add to that task in this case. As I have said, though, many useful points have been raised on this complex question, and I shall reflect on all the contributions made. However, on the basis of what I have been able to say, I hope the noble Lord will feel able to withdraw his amendment.",(Con),female,34
Lord Newby,"The Minister started her speech by saying one of the principal reasons why the Government were opposing this amendment was that what it proposed was “impractical”. I have been listening very carefully, but I do not think she has explained why it is impractical. She has explained a number of other objections that the Government have, but surely it is not impractical. It is perfectly possible to do it. It is just that the Government do not want to do it, for other reasons.",(LD),male,35
Baroness Goldie,"I disagree with the noble Lord. I was using “impractical”—if I did use it, and it is so long ago that I started my speech that I cannot remember what I said—in the context of what is reasonable and proportionate in all the circumstances.I turn to Amendment 355ZZA—sounds a bit like a pop group—in the name of the noble Baroness, Lady Bowles. If I have understood the amendment correctly, the noble Baroness is concerned about regulations being used to diminish the evidential value of certain matters or documents. I agree that this is an important area which we want to get right. Part 2 of Schedule 5 ensures that the rules of evidence, currently in Section 3 of the 1972 Act, can be replaced and properly reflect the legal landscape post exit. The power in Part 2 of Schedule 5 enables a Minister to make provision about judicial notice and the admissibility of specified evidence of certain matters. For clarity, judicial notice covers matters which are to be treated as already within the knowledge of the court and so are not required to be “proved” in the usual way.The power in part 2 of the Schedule covers a limited and technical, though important, area, and subparagraphs (2) to (5) of paragraph 4 set out the scope and limits of that power. While I understand the noble Baroness’s concern, and share her desire to ensure that the effective administration of court proceedings continues after exit, I hope I have reassured her that the regulation-making power is designed to do exactly that. In addition, regulations made under this power are subject to the affirmative procedure, as provided for in paragraph 9 of Schedule 7, so there will be a debate and a vote in this House before any new rules are provided for. On that basis, I would ask the noble Baroness not to press her amendment.",(Con),female,36
Lord Wallace of Saltaire,"My Lords, I query the comparison with war time. This is a very sensitive issue in the debate on leaving the European Union. After all, the leave campaign depicted the European Union as a continental—or German—tyranny, from which we would be escaping. Yesterday, Jacob Rees-Mogg talked about remainers as being like Japanese soldiers who had not yet realised that they had been defeated and liberated by the Americans. The Prime Minister’s Mansion House speech takes us in a very different direction. She talked about leaving, but recognising that our values and interests remain the same as those of the European Union; that we will remain closely associated with the Union. That is not something which one can compare with war time. It is a complicated disengagement process in which we are not entirely disengaging. It is not helpful to the public, or to the continuing debate, to make these comparisons.",(LD),male,37
Baroness Goldie,"I hear the noble Lord. I did not in any way wish to draw a specific comparison between the two. I was simply describing the magnitude of constitutional challenge which is confronting the country. I had no wish to conflate the two situations in any way. The noble Lord is quite right that there are profound differences. If it caused concern, I apologise.",(Con),female,38
